category_code,count
construction.tools.light,156507
appliances.personal.massager,25051
apparel.shoes,24617
appliances.kitchen.refrigerators,20450
sport.bicycle,19623
electronics.clocks,18720
appliances.environment.vacuum,16534
electronics.audio.headphone,14068
appliances.kitchen.washer,13486
electronics.smartphone,8991
apparel.shoes.slipons,6455
apparel.shoes.keds,5881
computers.peripherals.printer,5845
furniture.bedroom.blanket,5642
apparel.shoes.sandals,5589
kids.toys,5455
computers.notebook,5330
sport.ski,4420
furniture.bedroom.bed,4203
appliances.environment.air_heater,4137
computers.desktop,4045
electronics.camera.video,3957
apparel.costume,3656
apparel.scarf,3555
apparel.underwear,3537
construction.tools.welding,3517
appliances.kitchen.blender,3506
electronics.video.tv,3492
furniture.kitchen.table,3466
computers.components.cooler,3104
appliances.kitchen.oven,3034
furniture.bathroom.bath,3018
accessories.bag,2996
appliances.sewing_machine,2842
apparel.shoes.moccasins,2597
kids.skates,2538
apparel.shirt,2447
sport.trainer,2391
electronics.camera.photo,2359
accessories.wallet,2327
furniture.kitchen.chair,2318
appliances.kitchen.kettle,2156
construction.tools.saw,2097
appliances.kitchen.toster,2045
auto.accessories.compressor,1978
appliances.kitchen.hood,1964
appliances.kitchen.coffee_grinder,1888
electronics.tablet,1758
computers.components.power_supply,1755
electronics.audio.subwoofer,1734
appliances.kitchen.grill,1706
appliances.kitchen.mixer,1692
appliances.kitchen.hob,1661
apparel.shorts,1653
appliances.kitchen.juicer,1611
furniture.living_room.sofa,1580
kids.swing,1536
construction.tools.drill,1487
construction.tools.generator,1422
electronics.audio.microphone,1336
appliances.kitchen.dishwasher,1320
construction.components.faucet,1304
furniture.living_room.chair,1264
electronics.audio.acoustic,1210
apparel.tshirt,1090
kids.dolls,1079
appliances.personal.hair_cutter,1069
apparel.trousers,1055
electronics.telephone,979
electronics.video.projector,971
apparel.shoes.step_ins,969
furniture.living_room.cabinet,954
appliances.kitchen.meat_grinder,893
computers.peripherals.mouse,861
appliances.environment.air_conditioner,850
apparel.shoes.ballet_shoes,829
computers.ebooks,766
apparel.pajamas,729
computers.components.videocards,641
apparel.jeans,572
appliances.ironing_board,565
appliances.personal.scales,534
stationery.cartrige,466
electronics.audio.music_tools.piano,454
kids.carriage,424
sport.tennis,421
country_yard.cultivator,405
apparel.jumper,386
construction.tools.painting,356
auto.accessories.radar,354
computers.peripherals.monitor,344
construction.tools.pump,342
accessories.umbrella,339
auto.accessories.videoregister,333
sport.snowboard,322
apparel.shoes.espadrilles,317
auto.accessories.player,292
apparel.dress,290
appliances.environment.climate,286
furniture.universal.light,261
country_yard.furniture.hammok,255
apparel.glove,255
appliances.kitchen.coffee_machine,250
furniture.living_room.shelving,245
computers.components.motherboard,236
computers.components.memory,223
apparel.sock,221
kids.fmcg.diapers,214
appliances.iron,191
auto.accessories.winch,172
appliances.kitchen.fryer,147
appliances.kitchen.steam_cooker,145
apparel.jacket,131
computers.components.cpu,118
computers.components.hdd,114
auto.accessories.alarm,111
medicine.tools.tonometer,109
appliances.environment.water_heater,107
sport.diving,104
computers.peripherals.keyboard,102
furniture.bedroom.pillow,91
furniture.bathroom.toilet,90
auto.accessories.anti_freeze,88
construction.tools.screw,87
auto.accessories.parktronic,79
computers.peripherals.camera,70
apparel.skirt,62
appliances.kitchen.microwave,61
appliances.environment.fan,49
construction.tools.soldering,43
computers.components.sound_card,39
apparel.belt,34
country_yard.lawn_mower,25
auto.accessories.light,5
